t,angulo
6.60E-02,0.984664628
6.61E-02,0.982647402
1.32E-01,0.976218051
1.32E-01,0.961580502
1.98E-01,0.937632871
1.98E-01,0.907809872
2.64E-01,0.867302787
2.64E-01,0.820125232
3.30E-01,0.76300018
3.30E-01,0.697656001
3.96E-01,0.62536298
3.96E-01,0.548163039
4.62E-01,0.464990862
4.62E-01,0.374609214
5.28E-01,0.281446911
5.28E-01,0.18536062
5.94E-01,0.086955542
5.94E-01,-0.013693891
6.60E-01,-0.114502875
6.60E-01,-0.21338065
7.26E-01,-0.308278322
7.26E-01,-0.396675888
7.59E-01,-0.479443531
8.25E-01,-0.557252762
8.25E-01,-0.626180365
8.91E-01,-0.688488391
8.91E-01,-0.741767403
9.24E-01,-0.790248682
9.57E-01,-0.829993018
1.02E+00,-0.863505187
1.02E+00,-0.89005969
1.09E+00,-0.910072757
1.09E+00,-0.921117661
1.12E+00,-0.924534147
1.15E+00,-0.918325171
1.22E+00,-0.902689231
1.22E+00,-0.878113168
1.25E+00,-0.845379282
1.29E+00,-0.80322136
1.35E+00,-0.753170682
1.35E+00,-0.696578558
1.42E+00,-0.633323962
1.42E+00,-0.56461409
1.49E+00,-0.491314909
1.49E+00,-0.413149274
1.55E+00,-0.333184384
1.55E+00,-0.247898381
1.62E+00,-0.158389605
1.62E+00,-0.068590552
1.68E+00,0.024462096
1.68E+00,0.113765638
1.72E+00,0.199640717
1.78E+00,0.281407585
1.78E+00,0.358290809
1.85E+00,0.428637739
1.85E+00,0.493043796
1.91E+00,0.551448373
1.91E+00,0.604024265
1.98E+00,0.648580495
1.98E+00,0.687866404
2.05E+00,0.720692296
2.05E+00,0.747006818
2.11E+00,0.760670483
2.11E+00,0.776359961
2.18E+00,0.778252732
2.18E+00,0.778859895
2.24E+00,0.768956325
2.24E+00,0.754141119
2.31E+00,0.730259668
2.31E+00,0.700303465
2.38E+00,0.668807877
2.38E+00,0.627518941
2.44E+00,0.581615087
2.44E+00,0.527850235
2.51E+00,0.469015912
2.51E+00,0.40555518
2.57E+00,0.336328179
2.57E+00,0.263147452
2.64E+00,0.187263304
2.64E+00,0.112246019
2.67E+00,0.034364311
2.71E+00,-0.046311013
2.74E+00,-0.125041945
2.77E+00,-0.19971425
2.84E+00,-0.27093487
2.84E+00,-0.341445884
2.87E+00,-0.407285242
2.90E+00,-0.470919287
2.97E+00,-0.529169264
2.97E+00,-0.580465562
3.04E+00,-0.627219756
