t,angulo
0.00E+00,0.165821009
6.59E-02,0.165821009
6.60E-02,0.165789566
1.32E-01,0.165436452
1.32E-01,0.161452013
1.98E-01,0.155121213
1.98E-01,0.146973815
2.64E-01,0.138810292
2.64E-01,0.128795601
3.30E-01,0.11729286
3.30E-01,0.104244168
3.96E-01,0.089630349
3.96E-01,0.074838581
4.62E-01,0.05834205
4.62E-01,0.041689324
4.95E-01,0.02391667
5.61E-01,0.004804255
5.61E-01,-0.014759928
6.27E-01,-0.034226327
6.27E-01,-0.052799196
6.93E-01,-0.070461915
6.93E-01,-0.086317152
7.59E-01,-0.103381171
7.59E-01,-0.119631697
8.25E-01,-0.134167084
8.25E-01,-0.147366903
8.91E-01,-0.157867611
8.91E-01,-0.168343717
9.57E-01,-0.176677055
9.57E-01,-0.184119748
1.02E+00,-0.191069648
1.02E+00,-0.195966314
1.09E+00,-0.199788027
1.09E+00,-0.200633447
1.15E+00,-0.19847404
1.15E+00,-0.194907744
1.22E+00,-0.188991412
1.22E+00,-0.180945217
1.29E+00,-0.170489569
1.29E+00,-0.157775291
1.32E+00,-0.143881004
1.35E+00,-0.130508691
1.39E+00,-0.114760336
1.42E+00,-0.099058924
1.45E+00,-0.083402901
1.48E+00,-0.06701207
1.52E+00,-0.049787019
1.55E+00,-0.031741759
1.58E+00,-0.013253591
1.62E+00,0.005211251
1.65E+00,0.023492415
1.68E+00,0.042163296
1.72E+00,0.060412241
1.75E+00,0.077349658
1.78E+00,0.092737376
1.81E+00,0.106365525
1.85E+00,0.118800972
1.88E+00,0.129586761
1.91E+00,0.138380074
1.95E+00,0.145809307
1.98E+00,0.151016818
2.01E+00,0.155127948
2.05E+00,0.1575634
2.08E+00,0.158853521
2.11E+00,0.158333984
2.14E+00,0.157388559
2.18E+00,0.15343297
2.21E+00,0.147181082
2.24E+00,0.138815724
2.28E+00,0.128307392
2.31E+00,0.115706337
2.34E+00,0.102301777
2.38E+00,0.087632293
2.41E+00,0.071978618
2.44E+00,0.055627947
2.47E+00,0.038100382
2.51E+00,0.020786073
2.54E+00,0.003144216
2.57E+00,-0.014622735
2.61E+00,-0.030959219
2.64E+00,-0.04875786
2.67E+00,-0.066182473
2.71E+00,-0.083660045
2.74E+00,-0.101779498
2.77E+00,-0.118994349
2.80E+00,-0.134808336
2.84E+00,-0.148377673
2.87E+00,-0.160313872
2.90E+00,-0.169803838
2.94E+00,-0.177769292
2.97E+00,-0.184392879
3.00E+00,-0.189040968
3.04E+00,-0.19096612
3.07E+00,-0.191537329
3.10E+00,-0.191167706
3.13E+00,-0.189093497
3.17E+00,-0.184895972
3.20E+00,-0.179705274
3.23E+00,-0.17281117
3.27E+00,-0.164503326
3.30E+00,-0.153876341
3.33E+00,-0.141692093
3.37E+00,-0.127146342
3.40E+00,-0.112668258
3.43E+00,-0.095397068
3.46E+00,-0.077769781
3.50E+00,-0.060862423
3.53E+00,-0.042023636
3.56E+00,-0.024939901
3.60E+00,-0.007524282
3.63E+00,0.009913367
3.66E+00,0.026648252
3.70E+00,0.042700395
3.73E+00,0.057990635
3.76E+00,0.0732336
3.79E+00,0.088035287
3.83E+00,0.101118562
3.86E+00,0.112617942
3.89E+00,0.122844181
3.93E+00,0.132496283
3.96E+00,0.140513176
3.99E+00,0.145963613
4.03E+00,0.149316474
4.06E+00,0.150577048
4.09E+00,0.150234202
4.12E+00,0.149128273
4.16E+00,0.145889519
4.19E+00,0.141465526
4.22E+00,0.134463146
4.26E+00,0.126188816
4.29E+00,0.117830064
4.32E+00,0.10639559
4.36E+00,0.095126143
4.39E+00,0.080886513
4.42E+00,0.066464514
4.45E+00,0.050249752
4.49E+00,0.033938327
4.52E+00,0.017529095
4.55E+00,0.001568488
4.59E+00,-0.015114553
4.62E+00,-0.031352301
4.65E+00,-0.048101906
4.69E+00,-0.063783803
4.72E+00,-0.079464299
4.75E+00,-0.0944793
4.78E+00,-0.108712522
4.82E+00,-0.121887833
4.85E+00,-0.133782181
4.88E+00,-0.144518941
4.92E+00,-0.15403488
4.95E+00,-0.163011024
4.98E+00,-0.169828649
5.02E+00,-0.174577287
5.05E+00,-0.17645294
5.08E+00,-0.176761583
5.11E+00,-0.175415165
5.15E+00,-0.172527019
5.18E+00,-0.167240154
5.21E+00,-0.162061283
5.25E+00,-0.154108712
5.28E+00,-0.145653639
5.31E+00,-0.13566445
5.35E+00,-0.124583861
5.38E+00,-0.11053766
5.41E+00,-0.097129215
5.44E+00,-0.082925476
5.48E+00,-0.067871933
5.51E+00,-0.051926548
5.54E+00,-0.034828082
5.58E+00,-0.01828204
5.61E+00,-0.002260257
5.64E+00,0.013808959
5.68E+00,0.030440302
5.71E+00,0.045994574
5.74E+00,0.060878173
5.77E+00,0.074915456
5.81E+00,0.087833583
5.84E+00,0.099621777
5.87E+00,0.110406821
5.91E+00,0.119861186
5.94E+00,0.127398692
5.97E+00,0.133784345
6.01E+00,0.138502337
6.04E+00,0.141463291
6.07E+00,0.143409327
6.10E+00,0.144049268
6.14E+00,0.141888661
6.17E+00,0.138036556
6.20E+00,0.133346724
6.24E+00,0.126467911
6.27E+00,0.118557972
6.30E+00,0.108864416
6.34E+00,0.097617122
6.37E+00,0.085078897
6.40E+00,0.072506642
6.43E+00,0.058258182
6.47E+00,0.043525882
6.50E+00,0.027855033
6.53E+00,0.012006957
6.57E+00,-0.004126551
6.60E+00,-0.020474553
6.63E+00,-0.036351813
6.67E+00,-0.053501521
6.70E+00,-0.068397652
6.73E+00,-0.082965879
6.76E+00,-0.098348708
6.80E+00,-0.1111504
6.83E+00,-0.122896512
6.86E+00,-0.13347505
6.90E+00,-0.143336646
6.93E+00,-0.15205658
6.96E+00,-0.159347181
7.00E+00,-0.16459347
7.03E+00,-0.168385335
7.06E+00,-0.171076151
7.09E+00,-0.17143222
7.13E+00,-0.171028741
7.16E+00,-0.168535408
7.19E+00,-0.164095916
7.23E+00,-0.157199172
7.26E+00,-0.149244902
7.29E+00,-0.140118862
7.33E+00,-0.129319713
7.36E+00,-0.117849402
7.39E+00,-0.106077446
7.42E+00,-0.091800739
7.46E+00,-0.077251872
7.49E+00,-0.061946963
7.52E+00,-0.047023647
7.56E+00,-0.03128849
7.59E+00,-0.015777
7.62E+00,4.16392E-05
7.66E+00,0.015577396
7.69E+00,0.030973489
7.72E+00,0.045744477
7.75E+00,0.060174144
7.79E+00,0.073290858
7.82E+00,0.085447203
7.85E+00,0.09581476
7.89E+00,0.106089877
7.92E+00,0.11466481
7.95E+00,0.121968425
7.99E+00,0.127222095
8.02E+00,0.130848652
8.05E+00,0.133771165
8.08E+00,0.134629041
8.12E+00,0.134179458
8.15E+00,0.132635475
8.18E+00,0.129537359
8.22E+00,0.124310225
8.25E+00,0.117919715
8.28E+00,0.110114226
8.32E+00,0.100104823
8.35E+00,0.089561935
8.38E+00,0.077100955
8.41E+00,0.064698236
8.45E+00,0.050745259
8.48E+00,0.03650761
8.51E+00,0.021959285
8.55E+00,0.006570401
8.58E+00,-0.008215247
8.61E+00,-0.023381489
8.65E+00,-0.03882538
8.68E+00,-0.053910387
8.71E+00,-0.068607091
8.74E+00,-0.082866995
8.78E+00,-0.095592569
8.81E+00,-0.108392158
8.84E+00,-0.120035557
8.88E+00,-0.12986097
8.91E+00,-0.139195959
8.94E+00,-0.147170135
8.98E+00,-0.153255054
9.01E+00,-0.157570252
9.04E+00,-0.161716348
9.07E+00,-0.163409557
9.11E+00,-0.163214383
9.14E+00,-0.162291851
9.17E+00,-0.158820011
9.21E+00,-0.152798775
9.24E+00,-0.146207393
9.27E+00,-0.138522885
9.31E+00,-0.129187084
9.34E+00,-0.119052421
9.37E+00,-0.108065957
9.40E+00,-0.09679977
9.44E+00,-0.08346451
9.47E+00,-0.069994141
9.50E+00,-0.055852285
9.54E+00,-0.040919915
9.57E+00,-0.025712575
9.60E+00,-0.010362499
9.64E+00,0.004937752
9.67E+00,0.019960241
9.70E+00,0.034603658
9.73E+00,0.049074741
9.77E+00,0.061931813
9.80E+00,0.074029426
9.83E+00,0.084487993
9.87E+00,0.094598559
9.90E+00,0.103415878
9.93E+00,0.110707163
9.97E+00,0.117683494
1.00E+01,0.122275848
1.00E+01,0.126044603
1.01E+01,0.128827593
1.01E+01,0.129457816
1.01E+01,0.128956286
1.02E+01,0.125841794
1.02E+01,0.121862217
1.02E+01,0.116916607
1.03E+01,0.109374136
1.03E+01,0.100755389
1.03E+01,0.090905163
1.04E+01,0.08056159
1.04E+01,0.06844074
1.04E+01,0.056367487
1.05E+01,0.04251043
1.05E+01,0.029662042
1.05E+01,0.01520174
1.06E+01,0.000323306
1.06E+01,-0.01479902
1.06E+01,-0.03045799
1.07E+01,-0.045660242
1.07E+01,-0.060222471
1.07E+01,-0.074379722
1.08E+01,-0.088480921
1.08E+01,-0.100654834
1.08E+01,-0.111989301
1.09E+01,-0.122606403
1.09E+01,-0.131448162
1.09E+01,-0.139299453
1.10E+01,-0.146036656
1.10E+01,-0.152150222
1.10E+01,-0.15640891
1.11E+01,-0.159814172
1.11E+01,-0.160429938
1.11E+01,-0.1603566
1.12E+01,-0.157792114
1.12E+01,-0.153539571
1.12E+01,-0.148537144
1.13E+01,-0.141686227
1.13E+01,-0.132940038
1.13E+01,-0.123574542
1.14E+01,-0.113267326
1.14E+01,-0.101414578
1.14E+01,-0.08942547
1.15E+01,-0.076532241
1.15E+01,-0.063571043
1.15E+01,-0.049246491
1.15E+01,-0.034383869
1.16E+01,-0.019467395
1.16E+01,-0.00461021
1.16E+01,0.010303841
1.17E+01,0.024649156
1.17E+01,0.037595387
1.17E+01,0.050873365
