t,angulo
6.83E+00,0.096639731
6.83E+00,0.031017807
6.90E+00,-0.033225484
6.90E+00,-0.09853879
6.93E+00,-0.162485396
7.00E+00,-0.224876439
7.00E+00,-0.284769971
7.06E+00,-0.340389231
7.06E+00,-0.393368554
7.13E+00,-0.44372805
7.13E+00,-0.48808688
7.19E+00,-0.530550292
7.19E+00,-0.565611953
7.26E+00,-0.596177181
7.26E+00,-0.620099187
7.33E+00,-0.638021525
7.33E+00,-0.650287226
7.39E+00,-0.657371473
7.39E+00,-0.657687239
7.46E+00,-0.651479647
7.46E+00,-0.639847826
7.52E+00,-0.620616608
7.52E+00,-0.597260875
7.59E+00,-0.567380618
7.59E+00,-0.53130403
7.66E+00,-0.48963315
7.66E+00,-0.443330704
7.72E+00,-0.392985467
7.72E+00,-0.339058572
7.79E+00,-0.28053555
7.79E+00,-0.22107842
7.85E+00,-0.159097867
7.85E+00,-0.095317679
7.89E+00,-0.030740241
7.95E+00,0.033282115
7.95E+00,0.096062715
8.02E+00,0.157953857
8.02E+00,0.216483026
8.08E+00,0.269803546
8.09E+00,0.322923071
8.15E+00,0.371425896
8.15E+00,0.414515048
8.22E+00,0.452826807
8.22E+00,0.488476545
8.28E+00,0.515566945
8.28E+00,0.538339145
8.32E+00,0.554063042
8.35E+00,0.563302798
8.41E+00,0.566754701
8.42E+00,0.565589705
8.48E+00,0.558300933
8.48E+00,0.544603705
8.55E+00,0.525805448
8.55E+00,0.501770899
8.61E+00,0.468838488
8.61E+00,0.435472449
8.65E+00,0.395920473
8.68E+00,0.351462871
8.74E+00,0.301923653
8.75E+00,0.251752232
8.81E+00,0.197845112
8.81E+00,0.140412525
8.84E+00,0.083125339
8.91E+00,0.024831483
8.91E+00,-0.033997793
8.98E+00,-0.09269058
8.98E+00,-0.149118078
9.04E+00,-0.205370491
9.04E+00,-0.258452981
9.11E+00,-0.30810144
9.11E+00,-0.35553754
9.17E+00,-0.399024251
9.17E+00,-0.437711273
9.24E+00,-0.472349643
9.24E+00,-0.502507935
9.31E+00,-0.528039527
9.31E+00,-0.548069473
9.37E+00,-0.563213942
9.37E+00,-0.572318377
9.44E+00,-0.575807434
9.44E+00,-0.574730596
9.50E+00,-0.566502187
9.50E+00,-0.552958796
9.57E+00,-0.535017506
9.57E+00,-0.511903694
9.64E+00,-0.482427145
9.64E+00,-0.448896348
9.70E+00,-0.409885913
9.70E+00,-0.368365728
9.77E+00,-0.322461259
9.77E+00,-0.272102679
9.80E+00,-0.21942656
9.87E+00,-0.164745219
9.87E+00,-0.108998073
9.93E+00,-0.051310137
9.93E+00,0.006370024
1.00E+01,0.062421804
1.00E+01,0.117553324
1.01E+01,0.17082789
1.01E+01,0.221850294
1.01E+01,0.269498405
1.01E+01,0.313160376
1.02E+01,0.353745256
1.02E+01,0.389879835
1.03E+01,0.421961824
1.03E+01,0.449193808
1.03E+01,0.471032546
1.03E+01,0.489594375
1.04E+01,0.501114604
1.04E+01,0.50771289
1.05E+01,0.508506086
1.05E+01,0.503726665
1.05E+01,0.493141612
1.05E+01,0.478368418
1.06E+01,0.458428322
1.06E+01,0.433489676
1.07E+01,0.402982608
1.07E+01,0.368604075
1.07E+01,0.330066213
1.07E+01,0.288165168
1.08E+01,0.243117796
1.08E+01,0.194946688
1.08E+01,0.14517315
1.09E+01,0.093112748
1.09E+01,0.040820604
1.10E+01,-0.010888101
1.10E+01,-0.062533737
1.10E+01,-0.113573358
1.10E+01,-0.163050029
1.11E+01,-0.21064082
1.11E+01,-0.255473329
1.12E+01,-0.300338542
1.12E+01,-0.341643268
1.12E+01,-0.375946858
1.12E+01,-0.409247366
1.13E+01,-0.438576415
1.13E+01,-0.461917319
